DataHora;Instancia;Algoritmo;Alpha;Iteracoes;Bloco;Semente;Tempo(s);ValorObtido
2026-07-13 10:15:45;b04;Randomizado_alpha_0.3;0.3;30;-;100306;0.007302;59.000000
2026-07-13 10:15:45;b04;Randomizado_alpha_0.4;0.4;30;-;100306;0.008324;59.000000
2026-07-13 10:15:45;b04;Reativo_0.2_0.3_0.4;-;300;30;100306;0.085438;59.000000
2026-07-13 10:15:45;b04;Guloso;-;-;-;100307;0.050714;62.000000
2026-07-13 10:15:45;b04;Randomizado_alpha_0.2;0.2;30;-;100307;0.007352;60.000000
2026-07-13 10:15:45;b04;Randomizado_alpha_0.3;0.3;30;-;100307;0.008228;59.000000
2026-07-13 10:15:45;b04;Randomizado_alpha_0.4;0.4;30;-;100307;0.007414;59.000000
2026-07-13 10:15:45;b04;Reativo_0.2_0.3_0.4;-;300;30;100307;0.083706;59.000000
2026-07-13 10:15:45;b04;Guloso;-;-;-;100308;0.061893;62.000000
2026-07-13 10:15:45;b04;Randomizado_alpha_0.2;0.2;30;-;100308;0.011159;60.000000
2026-07-13 10:15:45;b04;Randomizado_alpha_0.3;0.3;30;-;100308;0.007607;59.000000
2026-07-13 10:15:45;b04;Randomizado_alpha_0.4;0.4;30;-;100308;0.008368;59.000000
2026-07-13 10:15:45;b04;Reativo_0.2_0.3_0.4;-;300;30;100308;0.095190;59.000000
2026-07-13 10:15:45;b04;Guloso;-;-;-;100309;0.056008;62.000000
2026-07-13 10:15:45;b04;Randomizado_alpha_0.2;0.2;30;-;100309;0.007378;60.000000
2026-07-13 10:15:45;b04;Randomizado_alpha_0.3;0.3;30;-;100309;0.008143;59.000000
2026-07-13 10:15:45;b04;Randomizado_alpha_0.4;0.4;30;-;100309;0.007537;59.000000
2026-07-13 10:15:45;b04;Reativo_0.2_0.3_0.4;-;300;30;100309;0.082196;59.000000
2026-07-13 10:15:45;b05;Guloso;-;-;-;100400;0.089120;64.000000
2026-07-13 10:15:45;b05;Randomizado_alpha_0.2;0.2;30;-;100400;0.013820;62.000000
2026-07-13 10:15:45;b05;Randomizado_alpha_0.3;0.3;30;-;100400;0.012865;62.000000
2026-07-13 10:15:45;b05;Randomizado_alpha_0.4;0.4;30;-;100400;0.010473;62.000000
2026-07-13 10:15:45;b05;Reativo_0.2_0.3_0.4;-;300;30;100400;0.102341;61.000000
2026-07-13 10:15:46;b05;Guloso;-;-;-;100401;0.089209;64.000000
2026-07-13 10:15:46;b05;Randomizado_alpha_0.2;0.2;30;-;100401;0.013979;61.000000
2026-07-13 10:15:46;b05;Randomizado_alpha_0.3;0.3;30;-;100401;0.014214;61.000000
2026-07-13 10:15:46;b05;Randomizado_alpha_0.4;0.4;30;-;100401;0.012663;61.000000
2026-07-13 10:15:46;b05;Reativo_0.2_0.3_0.4;-;300;30;100401;0.118553;61.000000
2026-07-13 10:15:46;b05;Guloso;-;-;-;100402;0.079990;64.000000
2026-07-13 10:15:46;b05;Randomizado_alpha_0.2;0.2;30;-;100402;0.010827;61.000000
2026-07-13 10:15:46;b05;Randomizado_alpha_0.3;0.3;30;-;100402;0.010333;61.000000
2026-07-13 10:15:46;b05;Randomizado_alpha_0.4;0.4;30;-;100402;0.009971;61.000000
2026-07-13 10:15:46;b05;Reativo_0.2_0.3_0.4;-;300;30;100402;0.102127;61.000000
2026-07-13 10:15:46;b05;Guloso;-;-;-;100403;0.100168;64.000000
2026-07-13 10:15:46;b05;Randomizado_alpha_0.2;0.2;30;-;100403;0.010466;61.000000
2026-07-13 10:15:46;b05;Randomizado_alpha_0.3;0.3;30;-;100403;0.011014;61.000000
